post_id,t0_first_corrective_utc,window_hours,high_di_thresh,n_before,n_after,mean_di_before,mean_di_after,max_di_before,max_di_after,high_di_rate_before,high_di_rate_after,delta_mean_di,delta_high_di_rate,nwin_enabled,nwin_N,nwin_n_before,nwin_n_after,nwin_mean_di_before,nwin_mean_di_after,nwin_max_di_before,nwin_max_di_after,nwin_high_di_rate_before,nwin_high_di_rate_after,nwin_delta_mean_di,nwin_delta_high_di_rate
cab2f3f6-c0ee-4733-adc8-ba35c7417e1d,2026-01-31 07:46:43.848485+00:00,12,3,2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ac10a388-1f45-4dc2-84f7-671876aa7b1d,2026-01-31 07:46:45.749363+00:00,12,3,0,6,,0.3333333333333333,,1.0,,0.0,,,1,5,0,5,,0.4,,1.0,,0.0,,
0d6f9c0e-3322-4224-94a2-aa405246a41d,2026-01-31 07:47:10.206802+00:00,12,3,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6540da0e-2a1e-4d40-8134-84c9981e649d,2026-01-31 07:46:49.167252+00:00,12,3,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37252dad-a5b3-4f51-9fc0-0c01768f01f9,2026-01-31 07:48:48.932000+00:00,12,3,18,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2ef8f90-f8a2-4d1c-9b07-b4c3c19631f2,2026-01-31 07:46:13.539327+00:00,12,3,2,8,0.0,0.25,0.0,1.0,0.0,0.0,0.25,0.0,1,5,2,5,0.0,0.2,0.0,1.0,0.0,0.0,0.2,0.0
b8024d29-788b-4cb6-b6a2-2524ca536dba,2026-01-31 07:46:31.863264+00:00,12,3,0,2,,0.0,,0.0,,0.0,,,1,5,0,2,,0.0,,0.0,,0.0,,
0ae94a03-6ddb-4d62-aea3-6f962e783104,2026-01-31 07:52:16.756757+00:00,12,3,10,10,0.4,0.0,1.0,0.0,0.0,0.0,-0.4,0.0,1,5,5,5,0.2,0.0,1.0,0.0,0.0,0.0,-0.2,0.0
d66652c3-835a-4820-af29-5654062466cb,2026-01-31 07:51:19.954431+00:00,12,3,12,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f3894be6-a7f8-40d0-80e4-420a0d7cf91b,2026-01-31 07:51:54.536414+00:00,12,3,16,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2bde4dfd-46eb-4948-be5c-b9e12564c38e,2026-01-31 07:50:05.340520+00:00,12,3,0,6,,0.3333333333333333,,1.0,,0.0,,,1,5,0,5,,0.4,,1.0,,0.0,,
8d35b578-d702-49b2-8f9e-d78ace2d0ba0,2026-01-31 07:58:58.931342+00:00,12,3,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b7d4fb80-9e68-49db-84e3-be91579823d4,2026-01-31 07:56:30.999336+00:00,12,3,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c94ee696-7efd-4240-843d-6be96144d168,2026-01-31 08:00:52.759843+00:00,12,3,8,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4add801f-2d9c-4cdc-8443-6e04d9ce36d5,2026-01-31 08:01:15.405469+00:00,12,3,12,22,0.16666666666666666,0.18181818181818182,1.0,1.0,0.0,0.0,0.015151515151515166,0.0,1,5,5,5,0.4,0.2,1.0,1.0,0.0,0.0,-0.2,0.0
