di_bin,vol_bin,early_di_bin,n_early,n_not_early,n_total,esc_high_after_E_mean_early,esc_high_after_E_mean_not_early,esc_high_after_E_diff,max_di_after_E_mean_early,max_di_after_E_mean_not_early,max_di_after_E_diff,mean_di_after_E_mean_early,mean_di_after_E_mean_not_early,mean_di_after_E_diff
DI=0,0,earlyDI=0,16,85,101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DI=0,0,earlyDI>0,4,17,21,0.0,0.0,0.0,0.25,0.47058823529411764,-0.22058823529411764,0.25,0.47058823529411764,-0.22058823529411764
DI=0,1,earlyDI=0,17,64,81,0.0,0.015625,-0.015625,0.17647058823529413,0.25,-0.07352941176470587,0.09523809523809523,0.12678571428571428,-0.03154761904761905
DI=0,1,earlyDI>0,9,18,27,0.0,0.0,0.0,0.4444444444444444,0.8888888888888888,-0.4444444444444444,0.2412698412698413,0.34920634920634913,-0.10793650793650783
DI=0,2,earlyDI=0,24,53,77,0.0,0.03773584905660377,-0.03773584905660377,0.6666666666666666,0.5849056603773585,0.08176100628930816,0.12559840493339988,0.11624242705586868,0.009355977877531202
DI=0,2,earlyDI>0,4,18,22,0.0,0.0,0.0,0.5,0.8888888888888888,-0.38888888888888884,0.06118881118881119,0.21844260660092654,-0.15725379541211534
DI>0,0,earlyDI=0,5,27,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DI>0,0,earlyDI>0,7,8,15,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285
DI>0,1,earlyDI=0,6,13,19,0.0,0.0,0.0,0.3333333333333333,0.38461538461538464,-0.05128205128205132,0.15873015873015872,0.1919413919413919,-0.033211233211233177
DI>0,1,earlyDI>0,11,11,22,0.0,0.0,0.0,0.7272727272727273,0.8181818181818182,-0.09090909090909094,0.30303030303030304,0.4190476190476191,-0.11601731601731607
DI>0,2,earlyDI=0,9,28,37,0.0,0.0,0.0,0.8888888888888888,0.7857142857142857,0.10317460317460314,0.1541866584271219,0.15168501234257697,0.002501646084544923
DI>0,2,earlyDI>0,6,10,16,0.16666666666666666,0.1,0.06666666666666665,1.1666666666666667,1.5,-0.33333333333333326,0.1879432624113475,0.5717678812415654,-0.3838246188302179
