di_bin,vol_bin,early_di_bin,n_early,n_not_early,n_total,esc_high_after_E_mean_early,esc_high_after_E_mean_not_early,esc_high_after_E_diff,max_di_after_E_mean_early,max_di_after_E_mean_not_early,max_di_after_E_diff,mean_di_after_E_mean_early,mean_di_after_E_mean_not_early,mean_di_after_E_diff
DI=0,0,earlyDI=0,16,85,101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DI=0,0,earlyDI>0,4,17,21,0.0,0.0,0.0,0.25,0.47058823529411764,-0.22058823529411764,0.25,0.47058823529411764,-0.22058823529411764
DI=0,1,earlyDI=0,29,52,81,0.0,0.019230769230769232,-0.019230769230769232,0.20689655172413793,0.25,-0.04310344827586207,0.08932676518883416,0.13736263736263735,-0.04803587217380319
DI=0,1,earlyDI>0,13,14,27,0.0,0.0,0.0,0.6153846153846154,0.8571428571428571,-0.24175824175824168,0.2945054945054945,0.33061224489795915,-0.03610675039246464
DI=0,2,earlyDI=0,50,27,77,0.02,0.037037037037037035,-0.017037037037037035,0.68,0.48148148148148145,0.1985185185185186,0.12766159572357777,0.1034122431919907,0.024249352531587068
DI=0,2,earlyDI>0,17,5,22,0.0,0.0,0.0,0.7058823529411765,1.2,-0.49411764705882344,0.1225251217515782,0.4187590187590187,-0.2962338970074405
DI>0,0,earlyDI=0,5,27,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DI>0,0,earlyDI>0,7,8,15,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285
DI>0,1,earlyDI=0,8,11,19,0.0,0.0,0.0,0.375,0.36363636363636365,0.011363636363636354,0.20238095238095238,0.1662337662337662,0.03614718614718618
DI>0,1,earlyDI>0,15,7,22,0.0,0.0,0.0,0.8,0.7142857142857143,0.08571428571428574,0.29841269841269846,0.4952380952380952,-0.19682539682539674
DI>0,2,earlyDI=0,23,14,37,0.0,0.0,0.0,0.782608695652174,0.8571428571428571,-0.07453416149068315,0.1462027421933253,0.16229980007069789,-0.01609705787737259
DI>0,2,earlyDI>0,12,4,16,0.16666666666666666,0.0,0.16666666666666666,1.5,1.0,0.5,0.39367718880596825,0.5303030303030303,-0.13662584149706203
